Cause,Effect
TUBB4B,UQCRB
POLR2L,UQCRB
UQCRB,SELENOH
FTH1,UQCRB
UQCRB,PPP1R14B
FAU,UQCRB
UQCRB,RPS3
FBXO32,SDC2
SDC2,PTPRD
STOM,SDC2
POLR2L,SDC2
TRIM5,SDC2
RPS3,SDC2
RPL30,PTPRD
POLR2L,RPL30
TRIM5,RPL30
RPL30,SELENOH
FTH1,RPL30
RPL30,PPP1R14B
FAU,RPL30
RPL30,RPS3
CCDC171,FBXO32
CKS2,FBXO32
CCDC34,FBXO32
DCDC1,FBXO32
FBXO32,RPS3
FBXO32,SESN3
DNAAF11,RFX3
DNAAF11,CCDC171
DNAAF11,DNAI1
TRIM5,DNAAF11
DNAAF11,DCDC1
ANKRD42,DNAAF11
DNAAF11,CHORDC1
RFX3,CCDC171
RFX3,TUBB4B
TRIM5,RFX3
DCDC1,RFX3
TRIM5,PTPRD
DNAI1,CCDC171
TRIM5,CCDC171
CCDC171,CCDC34
FTH1,CCDC171
CCDC171,PPP1R14B
DNAI1,TUBB4B
TRIM5,DNAI1
DNAI1,CCDC34
DCDC1,DNAI1
DNAI1,RPS3
DNAI1,SESN3
TUBB4B,CKS2
TRIM5,CKS2
CCDC34,CKS2
DCDC1,CKS2
CHORDC1,CKS2
TRIM5,PTCH1
DCDC1,PTCH1
SESN3,PTCH1
TUBB4B,STOM
TUBB4B,IER5L
FTH1,IER5L
POLR2L,TUBB4B
CCDC34,TUBB4B
FTH1,TUBB4B
TUBB4B,FAU
POLR2L,FTH1
POLR2L,FAU
TRIM5,SELENOH
TRIM5,STX3
TRIM5,FTH1
TRIM5,PPP1R14B
TRIM5,ANKRD42
TRIM5,SESN3
ANKRD42,CCDC34
CHORDC1,CCDC34
ANKRD42,DCDC1
DCDC1,SESN3
FTH1,SELENOH
PPP1R14B,SELENOH
FTH1,STX3
FTH1,PPP1R14B
FTH1,FAU
FTH1,RPS3
FAU,PPP1R14B
RPS3,PPP1R14B
FAU,RPS3
SESN3,RPS3
ANKRD42,CHORDC1
HSPA8,ATP5MG
ATP5MG,EI24
ATP5MG,ADIRF
ATP5MG,TUBA1B
RPL41,ATP5MG
DYNLL1,ATP5MG
HSPA8,IDI1
HSPA8,CACNB2
HSPA8,SCD
HSPA8,SORCS1
HSPA8,APOLD1
HSPA8,NELL2
RPL41,HSPA8
HSPA8,CEP83
DYNLL1,HSPA8
CACNB2,EI24
RPL41,EI24
DYNLL1,EI24
SCD,TMEM45B
DERA,TMEM45B
TMEM45B,KRT80
CACNB2,ADAMTS15
SORCS1,ADAMTS15
GAS2L3,ADAMTS15
IDI1,SCD
RPL41,IDI1
GAS2L3,IDI1
DYNLL1,IDI1
CACNB2,ADIRF
SCD,CACNB2
ATRNL1,CACNB2
CACNB2,DERA
CACNB2,KRT80
RPL41,CACNB2
E2F7,CACNB2
GAS2L3,CACNB2
NRG3,DDIT4
SCD,DDIT4
SORCS1,DDIT4
BNIP3,DDIT4
E2F7,DDIT4
NRG3,SORCS1
NRG3,ATRNL1
NRG3,APOLD1
NRG3,DERA
RPL41,NRG3
NRG3,TAFA2
NRG3,E2F7
CEP83,NRG3
SCD,ADIRF
ATRNL1,ADIRF
ADIRF,NELL2
TUBA1B,ADIRF
RPL41,ADIRF
ATRNL1,SCD
SCD,DERA
TUBA1B,SCD
CEP83,SCD
SORCS1,BNIP3
APOLD1,SORCS1
SORCS1,NELL2
RPL41,SORCS1
SORCS1,TAFA2
DPY19L2,SORCS1
E2F7,SORCS1
CEP83,SORCS1
ATRNL1,APOLD1
ATRNL1,TUBA1B
ATRNL1,E2F7
RPL41,BNIP3
DDIT3,BNIP3
TUBA1B,APOLD1
RPL41,APOLD1
CEP83,APOLD1
GAS2L3,APOLD1
E2F7,DERA
NELL2,TAFA2
RPL41,TUBA1B
TUBA1B,E2F7
TUBA1B,GAS2L3
DYNLL1,TUBA1B
KRT80,DDIT3
RPL41,DDIT3
DPY19L2,RPL41
RPL41,GAS2L3
DYNLL1,RPL41
CEP83,TAFA2
DPY19L2,E2F7
DPY19L2,CEP83
E2F7,MDM1
CEP83,MDM1
ACTR6,MDM1
CEP83,E2F7
ACTR6,E2F7
E2F7,GAS2L3
DYNLL1,E2F7
ACTR6,CEP83
CEP83,GAS2L3
DYNLL1,CEP83
DYNLL1,GAS2L3
PCDH9,CFAP251
DNAL1,CFAP251
BBOF1,CFAP251
DGLUCY,CFAP251
CFAP251,EML1
MOK,CFAP251
RAN,IRS2
RAN,AKAP6
RAN,NFKBIA
RPL36AL,RAN
RAN,RTRAF
BBOF1,RAN
CALM1,RAN
HSP90AA1,RAN
RAN,CRIP1
RAN,B2M
DCLK1,ATP8A2
LHFPL6,ATP8A2
PCDH9,ATP8A2
ATP8A2,IRS2
AKAP6,ATP8A2
SAMD4A,ATP8A2
CATSPERB,ATP8A2
B2M,ATP8A2
HSPH1,BBOF1
HSPH1,DGLUCY
HSPH1,CATSPERB
HSPH1,HSP90AA1
DCLK1,FREM2
LHFPL6,DCLK1
PCDH9,DCLK1
DCLK1,IRS2
DCLK1,AKAP6
ACYP1,DCLK1
PTPN21,DCLK1
DGLUCY,DCLK1
DCLK1,CATSPERB
HSP90AA1,DCLK1
DCLK1,CRIP1
PCDH9,FREM2
FREM2,RPL36AL
FREM2,ERO1A
LHFPL6,PCDH9
PCDH9,IRS2
PCDH9,SAMD4A
PCDH9,RTN1
ACYP1,PCDH9
PCDH9,PTPN21
FOXN3,PCDH9
DGLUCY,PCDH9
PCDH9,CATSPERB
HSP90AA1,PCDH9
MOK,PCDH9
PCDH9,CRIP1
AKAP6,IRS2
IRS2,ERO1A
DGLUCY,IRS2
MOK,IRS2
B2M,IRS2
DNAL1,AKAP6
PTPN21,AKAP6
DGLUCY,AKAP6
CATSPERB,AKAP6
B2M,AKAP6
RPL36AL,NFKBIA
SAMD4A,NFKBIA
DGLUCY,NFKBIA
CATSPERB,NFKBIA
B2M,NFKBIA
RPL36AL,RTRAF
CALM1,RPL36AL
HSP90AA1,RPL36AL
RPL36AL,CRIP1
RPL36AL,B2M
CALM1,RTRAF
HSP90AA1,RTRAF
SAMD4A,ERO1A
FOXN3,ERO1A
B2M,ERO1A
PTPN21,SAMD4A
FOXN3,SAMD4A
DGLUCY,SAMD4A
EML1,SAMD4A
BBOF1,SNAPC1
FOXN3,SNAPC1
EML1,SNAPC1
HSP90AA1,SNAPC1
MOK,SNAPC1
BBOF1,DNAL1
DNAL1,CALM1
DNAL1,EML1
HSP90AA1,DNAL1
MOK,DNAL1
FOXN3,BBOF1
BBOF1,CALM1
BBOF1,EML1
HSP90AA1,BBOF1
MOK,BBOF1
BBOF1,CRIP1
ACYP1,CALM1
DGLUCY,PTPN21
PTPN21,CATSPERB
MOK,PTPN21
FOXN3,DGLUCY
FOXN3,CATSPERB
FOXN3,EML1
FOXN3,MOK
CALM1,EML1
HSP90AA1,CALM1
CALM1,CRIP1
CALM1,B2M
DGLUCY,CATSPERB
MOK,DGLUCY
B2M,CATSPERB
MOK,EML1
HSP90AA1,MOK
HSP90AA1,B2M
B2M,CRIP1
DNAAF4,MYO1E
DNAAF4,SAXO2
SLCO3A1,DNAAF4
DNAAF4,PCSK6
XYLT1,DNAAF4
DNAAF4,VWA3A
DNAAF4,DOC2A
ADAMTS18,DNAAF4
HSBP1,DNAAF4
DNAAF4,SLC7A5
MYO1E,DNAJA4
PRC1,MYO1E
MYO1E,PCSK6
VWA3A,MYO1E
DOC2A,MYO1E
ADAMTS18,MYO1E
ACTG1,MYO1E
PRC1,RORA
BMERB1,RORA
ACTG1,RORA
VWA3A,DNAJA4
DOC2A,DNAJA4
UBB,DNAJA4
DOC2A,SAXO2
RPL26,SAXO2
PRC1,PCSK6
PRC1,CCDC78
ARL6IP1,PRC1
VWA3A,PRC1
PRC1,MT2A
PPM1E,PRC1
H3-3B,PRC1
SLCO3A1,NUPR1
SLCO3A1,ADAMTS18
SLCO3A1,RPL23
SLCO3A1,RPL27
SLCO3A1,PPM1E
DOC2A,PCSK6
ADAMTS18,PCSK6
PPM1E,PCSK6
VWA3A,CCDC78
DOC2A,CCDC78
ADAMTS18,CCDC78
MT2A,NDUFB10
UBB,NDUFB10
RPL23A,NDUFB10
RPL23,NDUFB10
KRT10,NDUFB10
EIF1,NDUFB10
BMERB1,ARL6IP1
BMERB1,RPL23A
BMERB1,PPM1E
RPL23,XYLT1
XYLT1,ACTG1
ARL6IP1,MT2A
ADAMTS18,ARL6IP1
UBB,ARL6IP1
RPL23A,ARL6IP1
EIF1,ARL6IP1
H3-3B,ARL6IP1
DOC2A,VWA3A
VWA3A,MT2A
HSBP1,NUPR1
NUPR1,SLC7A5
RPL23,NUPR1
EIF1,NUPR1
PPM1E,NUPR1
ACTG1,NUPR1
UBB,DOC2A
PPM1E,DOC2A
UBB,MT2A
RPL23A,MT2A
H3-3B,MT2A
ADAMTS18,RPL26
ADAMTS18,RPL23
PPM1E,ADAMTS18
ADAMTS18,ACTG1
RPL26,HSBP1
UBB,HSBP1
RPL23,HSBP1
RPL27,HSBP1
H3-3B,HSBP1
ACTG1,HSBP1
PPM1E,SLC7A5
ACTG1,SLC7A5
RPL23A,RPL26
RPL23,RPL26
RPL26,KRT10
EIF1,RPL26
RPL27,RPL26
ACTG1,RPL26
RPL23A,UBB
KRT10,UBB
EIF1,UBB
H3-3B,UBB
ACTG1,UBB
RPL23,RPL23A
RPL23A,KRT10
EIF1,RPL23A
RPL27,RPL23A
RPL23A,H3-3B
ACTG1,RPL23A
RPL23,RPL27
PPM1E,RPL23
RPL23,H3-3B
RPL23,ACTG1
EIF1,KRT10
H3-3B,KRT10
EIF1,RPL27
EIF1,H3-3B
ACTG1,EIF1
ACTG1,RPL27
ACTG1,H3-3B
TCF4,ANKRD30B
BCL2,ANKRD30B
ANKRD30B,CDK5RAP1
ANKRD30B,PTPRT
ANKRD30B,BCAS1
ANKRD30B,TFAP2C
ANKRD30B,ZNF440
TTC28,ANKRD30B
BACH1,ANKRD30B
CHST9,TCF4
RPS15,CHST9
TTC28,CHST9
SETBP1,PSTPIP2
SETBP1,TCF4
SETBP1,PTPRT
SETBP1,IQCN
BCL2,PSTPIP2
PTPRT,PSTPIP2
BCAS1,PSTPIP2
BCL2,TCF4
