gene,mito,n_cells,highly_variable,means,dispersions,dispersions_norm
CFAP58,False,187,False,0.23232169741435482,-0.2631389034210672,0.14169925
MMRN2,False,187,False,2.1368910331951425,1.5466238080569747,-0.4927994
SFMBT2,False,187,False,1.2685938654266353,1.2532806603865807,-0.088712
SPOCK2,False,187,False,2.641259968236634,4.207185369672092,1.8418165
CDNF,False,187,False,0.818410918298589,0.05696475934667883,-0.62049294
ARHGAP22,False,187,False,1.6799043764318564,1.9317040350256038,0.13925162
TACC2,False,187,False,3.4287439842624,3.9310648879433874,1.2867787
MINPP1,False,187,False,2.4626031316543893,1.0718193315545401,-0.9299068
FAM21EP,False,187,False,0.42731421631605737,-1.3646492235726286,-1.2225721
MCU,False,187,False,3.14783606928995,2.434181460121961,-0.24938305
ANXA11,False,187,False,5.194074269334025,4.895951145322013,0.35695383
AC022400.9,False,187,False,0.4465217046683389,-0.11772373221322353,0.32180268
DCLRE1C,False,187,False,2.167757738943545,1.174045768289474,-0.8357966
LRMDA,False,187,False,2.743703120482285,2.8637351796173545,0.5097183
SLF2,False,187,False,2.331824106019429,1.5660552906482768,-0.4749107
WAC,False,187,False,4.35028694581675,2.6430744656680236,-0.9451108
PYROXD2,False,187,False,2.0715337331463672,2.475628965514907,0.36244735
AL731571.1,False,187,False,0.18783559109910114,0.008298350694199723,0.47788683
HECTD2,False,187,False,1.6673795775774862,1.2306577509615282,-0.51379
AIFM2,False,187,False,2.3874040653491186,1.7820069431192607,-0.27610454
ACBD7,False,187,False,0.9670533194382438,2.124683623835027,1.7237668
PCBD1,False,187,False,4.9977550040871055,4.266827603656052,0.21790107
MRPL43,False,187,False,4.474393731490586,2.9290946418960986,-0.6371463
AL133352.1,False,187,False,1.2769330933836598,0.25200499443286567,-1.0874217
CASC2,False,187,False,0.6710281764630643,-0.08339541595764147,-0.7796251
SLC25A28,False,187,False,3.626876736853493,2.538552636658896,-0.5625413
NT5C2,False,187,False,3.594652736393908,2.355773889343378,-0.7604867
ZNF33A,False,187,False,2.6452081255660307,1.6086814941155234,-0.7347304
CCNY,False,187,False,3.6121045783740864,2.3589858566889474,-0.75700825
TWNK,False,187,False,2.291050387817663,1.3342552701641306,-0.6883069
MCM10,False,187,False,1.7650004018756111,1.472391591737278,-0.28860906
LINC01515,False,187,False,1.7370702577347419,2.7594988352251653,0.91036254
CDH23,False,187,False,1.711698084344721,3.6084205663521116,1.7011538
PCGF5,False,187,False,3.2712094645428884,2.332956543229247,-0.35326412
NEURL1,False,187,False,1.5901258493906811,3.4494703581429236,1.5530877
ACSL5,False,187,False,3.5731452378865702,4.508580963185174,1.5709567
AL117339.4,False,187,False,0.43398543051450583,-0.27418448963325953,0.1280188
CCDC186,False,187,False,2.0166543367744056,1.1489151477083943,-0.5899352
AC073389.1,False,187,False,0.5415104459604717,-0.9379034826765061,-0.69402784
STAM,False,187,False,2.817556712080954,2.282268394891424,-0.06683519
HERC4,False,187,False,2.6599661211745733,1.6220812797173578,-0.72144383
DNAJC12,False,187,False,2.582665111027687,3.955918703721613,1.5926731
HIF1AN,False,187,False,2.641806824139524,1.2474586624323787,-1.092901
AFAP1L2,False,187,False,2.620001996495205,4.157830508226661,1.7928787
PTPRE,False,187,False,2.3468786570119486,2.945422696392906,0.7949418
SHLD2P3,False,187,False,0.6016400982793625,-1.717859520676682,-2.6326857
ATP5MD,False,187,False,5.409458636318041,4.393867614547033,-0.13175784
JMJD1C-AS1,False,187,False,0.7662202518033354,1.805513190247645,1.3619099
FRA10AC1,False,187,False,1.9186575053584818,0.939862622635455,-0.7846727
PROSER2,False,187,False,2.1560441975734568,2.0999428729188945,0.01658886
SHLD2,False,187,False,2.5276977201272013,0.6842581913184635,-1.2866975
KCNMA1,False,187,True,3.3800437854339482,6.54719437732329,3.9715557
COMMD3,False,187,False,4.0907957680487534,3.8825626730772065,0.38947472
SEC24C,False,187,False,3.7094217422492064,2.0611304429310944,-1.0795792
ZNF503,False,187,False,3.0018376278861014,4.055125687764135,1.6910418
BICC1,False,187,False,2.0026266905084182,3.206684258902052,1.3269266
HPS1,False,187,False,3.760010841780314,2.79814276650742,-0.2814108
PI4K2A,False,187,False,2.5925119419930103,1.2308710819451494,-1.1093484
AL135925.1,False,187,False,1.1118954824343927,-0.1714525315173539,-1.509794
AL356056.2,False,187,False,0.951855625789653,1.8679836494654438,1.4327352
TRDMT1,False,187,False,1.3947905743057256,0.532207629873432,-0.8079371
MACROH2A2,False,187,False,2.7291738895495627,2.6966456371890932,0.34404063
NUTM2A,False,187,False,0.57451952252954,-0.547621675647617,-0.21064578
DNMBP,False,187,False,2.3238636544116105,2.0030944829680672,-0.07257025
IDE,False,187,False,2.69905859935099,1.1438072855039279,-1.1956766
FUOM,False,187,False,3.192932320168039,3.3417924648664523,0.68204373
MKI67,False,187,False,2.9622158445304754,2.5630415707381764,0.21156551
DEPP1,False,187,False,3.7843964717067546,4.131640517046477,1.1627384
PAOX,False,187,False,1.8517315677741157,3.81359035543653,1.8922744
MSS51,False,187,False,0.7317486929664726,-0.2614419114421604,-0.98148394
